"","country","year","unemployment_rate_oecd","active_pop_oecd","vacancy_rate_lm_v1","vacancy_rate_lm_v2","vacancy_rate_lm_v3","vacancy_rate_oecd","unemployment_level_oecd","vacancy_stock_oecd","vacancy_stock_lm_v1","vacancy_stock_lm_v2","vacancy_stock_lm_v3","vacancy_stock_eurostat","becru_lm_v1","fegap_lm_v1","becru_lm_v2","fegap_lm_v2","becru_lm_v3","fegap_lm_v3","active_pop_growth_oecd","Labour_productivity_growth_old","neets_prc"
"1","Austria",1970,1.94180300978504,3010595.25,2.87000889097607,2.87000889097607,2.87000889097607,1.50394411465938,58444.1675,45279.915,86406.9485779565,86406.9485779565,86406.9485779565,NA,2.36071851405608,-0.41891550427104,2.36071851405608,-0.41891550427104,2.36071851405608,-0.41891550427104,NA,NA,NA
"2","Austria",1971,1.72840211672526,3009858,3.30657396451239,3.30657396451239,3.30657396451239,1.85755604137293,52019.6675,55913.5825,99527.5675653542,99527.5675653542,99527.5675653542,NA,2.39062532392089,-0.662223207195628,2.39062532392089,-0.662223207195628,2.39062532392089,-0.662223207195628,-0.0244885126952884,NA,NA
"3","Austria",1972,1.62289245402808,3028083,3.53435453014923,3.53435453014923,3.53435453014923,2.0471024365459,49135.085,61997.9175,107034.877844398,107034.877844398,107034.877844398,NA,2.39496916406854,-0.772076710040455,2.39496916406854,-0.772076710040455,2.39496916406854,-0.772076710040455,0.605510293176622,NA,NA
"4","Austria",1973,1.35831922472074,3042785.75,3.68234539423015,3.68234539423015,3.68234539423015,2.17100154768237,41326.6675,66059.915,112046.875965015,112046.875965015,112046.875965015,NA,2.23647055447746,-0.878151329756712,2.23647055447746,-0.878151329756712,2.23647055447746,-0.878151329756712,0.4855464661966,NA,NA
"5","Austria",1974,1.35394562685748,3050686.5,3.33012474378476,3.33012474378476,3.33012474378476,1.88762430054206,41305.75,57599.25,101607.470948353,101607.470948353,101607.470948353,NA,2.12339535502395,-0.769449728166463,2.12339535502395,-0.769449728166463,2.12339535502395,-0.769449728166463,0.259655153176657,NA,NA
"6","Austria",1975,1.85252050120356,2995354,2.30405133519127,2.30405133519127,2.30405133519127,1.04105650420163,55464.3325,31209,69045.1950231215,69045.1950231215,69045.1950231215,NA,2.06598701212453,-0.213466510920973,2.06598701212453,-0.213466510920973,2.06598701212453,-0.213466510920973,-1.8137720804809,NA,NA
"7","Austria",1976,1.84215288001953,3000766,2.22480948330987,2.22480948330987,2.22480948330987,0.978335397436903,55256.8325,29365.9175,66771.0611699763,66771.0611699763,66771.0611699763,NA,2.02446022365816,-0.182307343638627,2.02446022365816,-0.182307343638627,2.02446022365816,-0.182307343638627,0.180679812803428,NA,NA
"8","Austria",1977,1.68402055923119,3037984.25,2.31043402108639,2.31043402108639,2.31043402108639,1.05784045885872,51165,32135.915,70188.8924867392,70188.8924867392,70188.8924867392,NA,1.97251575209342,-0.288495192862228,1.97251575209342,-0.288495192862228,1.97251575209342,-0.288495192862228,1.24029164553317,NA,NA
"9","Austria",1978,1.90238740737016,3078753,2.17045475608332,2.17045475608332,2.17045475608332,0.955178328067129,58570.4175,29405.0825,66819.3858935621,66819.3858935621,66819.3858935621,NA,2.03200536324085,-0.12961795587069,2.03200536324085,-0.12961795587069,2.03200536324085,-0.12961795587069,1.34196712836809,NA,NA
"10","Austria",1979,1.82087408207325,3115316.75,2.22191831477949,2.22191831477949,2.22191831477949,1.0063091915473,56718.665,31360.0825,69231.6119783407,69231.6119783407,69231.6119783407,NA,2.01142573113348,-0.190551649060231,2.01142573113348,-0.190551649060231,2.01142573113348,-0.190551649060231,1.18761557032994,NA,NA
"11","Austria",1980,1.69953292979585,3128571.25,2.41454279290045,2.41454279290045,2.41454279290045,1.16579416516081,53160.9175,36470.2475,75536.9180195288,75536.9180195288,75536.9180195288,NA,2.02573319737214,-0.326200267576288,2.02573319737214,-0.326200267576288,2.02573319737214,-0.326200267576288,0.425462354670677,NA,NA
"12","Austria",1981,2.18493343060464,3170299.75,1.94903639913153,1.94903639913153,1.94903639913153,0.798948211903753,69294.5025,25320.085,61779.0086425364,61779.0086425364,61779.0086425364,NA,2.0636169184051,0.121316512199541,2.0636169184051,0.121316512199541,2.0636169184051,0.121316512199541,1.33378774736231,NA,NA
"13","Austria",1982,3.18840837018322,3303851.25,1.56953758416554,1.56953758416554,1.56953758416554,0.522939925933133,105346.08,17275.5825,51853.0962284358,51853.0962284358,51853.0962284358,NA,2.23703526361802,0.951373106565202,2.23703526361802,0.951373106565202,2.23703526361802,0.951373106565202,4.21258273764176,NA,NA
"14","Austria",1983,3.86628498955789,3294496.75,1.49552124046132,1.49552124046132,1.49552124046132,0.460824388625243,127375.675,15181.3325,49269.0530171583,49269.0530171583,49269.0530171583,NA,2.40460211335692,1.46168287620097,2.40460211335692,1.46168287620097,2.40460211335692,1.46168287620097,-0.283139260582631,NA,NA
